   70   65
CONFORMAL GRID                                                                  
 0.5095116E+02 0.5153070E+02 0.5208986E+02 0.5262500E+02 0.5313288E+02 0.5361071E+02 0.5405611E+02 0.5446716E+02 0.5484233E+02 0.5518050E+02 0.5548090E+02 0.5574314E+02 0.5596710E+02 0.5615297E+02 0.5630119E+02
 0.5641239E+02 0.5648742E+02 0.5652726E+02 0.5653302E+02 0.5650593E+02 0.5644725E+02 0.5635833E+02 0.5624053E+02 0.5609522E+02 0.5592380E+02 0.5572761E+02 0.5550800E+02 0.5526628E+02 0.5500374E+02 0.5472162E+02
 0.5442112E+02 0.5410342E+02 0.5376964E+02 0.5342089E+02 0.5305825E+02 0.5268278E+02 0.5229552E+02 0.5189751E+02 0.5148979E+02 0.5107339E+02 0.5064940E+02 0.5021891E+02 0.4978306E+02 0.4934304E+02 0.4890010E+02
 0.4845558E+02 0.4801089E+02 0.4756754E+02 0.4712715E+02 0.4669146E+02 0.4626235E+02 0.4584181E+02 0.4543201E+02 0.4503523E+02 0.4465392E+02 0.4429065E+02 0.4394814E+02 0.4362921E+02 0.4333680E+02 0.4307388E+02
 0.4284348E+02 0.4264859E+02 0.4249214E+02 0.4237692E+02 0.4230554E+02 0.4228032E+02 0.4230324E+02 0.4237588E+02 0.4249930E+02 0.4267404E+02 0.4290001E+02 0.4317650E+02 0.5104129E+02 0.5167035E+02 0.5227615E+02
 0.5285473E+02 0.5340261E+02 0.5391682E+02 0.5439488E+02 0.5483480E+02 0.5523505E+02 0.5559455E+02 0.5591262E+02 0.5618898E+02 0.5642366E+02 0.5661702E+02 0.5676968E+02 0.5688248E+02 0.5695646E+02 0.5699282E+02
 0.5699287E+02 0.5695803E+02 0.5688976E+02 0.5678959E+02 0.5665905E+02 0.5649968E+02 0.5631298E+02 0.5610046E+02 0.5586356E+02 0.5560369E+02 0.5532223E+02 0.5502047E+02 0.5469968E+02 0.5436108E+02 0.5400583E+02
 0.5363505E+02 0.5324984E+02 0.5285127E+02 0.5244037E+02 0.5201817E+02 0.5158570E+02 0.5114400E+02 0.5069411E+02 0.5023712E+02 0.4977415E+02 0.4930637E+02 0.4883503E+02 0.4836146E+02 0.4788708E+02 0.4741341E+02
 0.4694210E+02 0.4647495E+02 0.4601388E+02 0.4556100E+02 0.4511855E+02 0.4468899E+02 0.4427491E+02 0.4387912E+02 0.4350456E+02 0.4315436E+02 0.4283175E+02 0.4254008E+02 0.4228277E+02 0.4206322E+02 0.4188483E+02
 0.4175085E+02 0.4166433E+02 0.4162806E+02 0.4164446E+02 0.4171546E+02 0.4184246E+02 0.4202624E+02 0.4226687E+02 0.4256366E+02 0.5114126E+02 0.5182439E+02 0.5248093E+02 0.5310656E+02 0.5369756E+02 0.5425079E+02
 0.5476366E+02 0.5523414E+02 0.5566073E+02 0.5604241E+02 0.5637863E+02 0.5666925E+02 0.5691448E+02 0.5711489E+02 0.5727133E+02 0.5738486E+02 0.5745677E+02 0.5748848E+02 0.5748157E+02 0.5743765E+02 0.5735843E+02
 0.5724562E+02 0.5710094E+02 0.5692609E+02 0.5672276E+02 0.5649256E+02 0.5623706E+02 0.5595778E+02 0.5565616E+02 0.5533358E+02 0.5499136E+02 0.5463075E+02 0.5425295E+02 0.5385910E+02 0.5345030E+02 0.5302761E+02
 0.5259206E+02 0.5214467E+02 0.5168644E+02 0.5121837E+02 0.5074149E+02 0.5025686E+02 0.4976557E+02 0.4926876E+02 0.4876766E+02 0.4826358E+02 0.4775792E+02 0.4725222E+02 0.4674814E+02 0.4624751E+02 0.4575231E+02
 0.4526471E+02 0.4478708E+02 0.4432200E+02 0.4387225E+02 0.4344085E+02 0.4303100E+02 0.4264611E+02 0.4228980E+02 0.4196580E+02 0.4167797E+02 0.4143022E+02 0.4122643E+02 0.4107042E+02 0.4096578E+02 0.4091586E+02
