# CO2 expressed as a mole fraction in dry air, micromol/mol, abbreviated as ppm.
# CO2-concetraions are from NORESM2-MM historic and SSP245 scenario.
# year     mean      unc
  1948   312.53      0.00
  1949   312.64      0.00
  1950   312.82      0.00
  1951   313.03      0.00
  1952   313.35      0.00
  1953   313.73      0.00
  1954   314.09      0.00
  1955   314.41      0.00
  1956   314.70      0.00
  1957   315.00      0.00
  1958   315.36      0.00
  1959   315.85      0.00
  1960   316.61      0.00
  1961   317.31      0.00
  1962   318.03      0.00
  1963   318.66      0.00
  1964   319.31      0.00
  1965   319.89      0.00
  1966   320.82      0.00
  1967   321.52      0.00
  1968   322.38      0.00
  1969   323.33      0.00
  1970   324.67      0.00
  1971   325.57      0.00
  1972   327.42      0.00
  1973   329.69      0.00
  1974   330.66      0.00
  1975   330.91      0.00
  1976   331.68      0.00
  1977   333.33      0.00
  1978   335.00      0.00
  1979   336.67      0.00
  1980   338.61      0.00
  1981   339.96      0.00
  1982   340.77      0.00
  1983   342.28      0.00
  1984   343.97      0.00
  1985   345.46      0.00
  1986   346.96      0.00
  1987   348.85      0.00
  1988   351.16      0.00
  1989   352.84      0.00
  1990   354.08      0.00
  1991   355.30      0.00
  1992   356.21      0.00
  1993   357.00      0.00
  1994   358.33      0.00
  1995   360.21      0.00
  1996   361.94      0.00
  1997   363.43      0.00
  1998   365.83      0.00
  1999   367.76      0.00
  2000   369.16      0.00
  2001   370.75      0.00
  2002   372.88      0.00
  2003   375.28      0.00
  2004   377.03      0.00
  2005   378.93      0.00
  2006   380.94      0.00
  2007   382.67      0.00
  2008   384.66      0.00
  2009   386.39      0.00
  2010   388.69      0.00
  2011   390.92      0.00
  2012   393.09      0.00
  2013   395.61      0.00
  2014   397.32      0.00  
  2015   400.04      0.00
  2016   403.05      0.00
  2017   405.79      0.00
  2018   408.63      0.00
  2019   411.51      0.00
  2020   414.39      0.00
  2021   417.29      0.00
  2022   420.20      0.00
  2023   423.12      0.00
  2024   426.07      0.00
  2025   429.03      0.00
  2026   432.01      0.00
  2027   435.01      0.00
  2028   438.03      0.00
  2029   441.08      0.00
  2030   444.14      0.00
  2031   447.23      0.00
  2032   450.33      0.00
  2033   453.43      0.00
  2034   456.54      0.00
  2035   459.65      0.00
  2036   462.77      0.00
  2037   465.90      0.00
  2038   469.03      0.00
  2039   472.18      0.00
  2040   475.33      0.00
  2041   478.50      0.00
  2042   481.67      0.00
  2043   484.83      0.00
  2044   487.99      0.00
  2045   491.15      0.00
  2046   494.30      0.00
  2047   497.44      0.00
  2048   500.59      0.00
  2049   503.73      0.00
  2050   506.87      0.00
  2051   510.01      0.00
  2052   513.13      0.00
  2053   516.22      0.00
  2054   519.29      0.00
  2055   522.32      0.00
  2056   525.33      0.00
  2057   528.30      0.00
  2058   531.25      0.00
  2059   534.18      0.00
  2060   537.08      0.00
  2061   539.95      0.00
  2062   542.79      0.00
  2063   545.58      0.00
  2064   548.33      0.00
  2065   551.03      0.00
  2066   553.69      0.00
  2067   556.31      0.00
  2068   558.89      0.00
  2069   561.42      0.00
  2070   563.92      0.00
  2071   566.37      0.00
  2072   568.76      0.00
  2073   571.07      0.00
  2074   573.30      0.00
  2075   575.45      0.00
  2076   577.53      0.00
  2077   579.53      0.00
  2078   581.45      0.00
  2079   583.29      0.00
  2080   585.06      0.00
  2081   586.76      0.00
  2082   588.36      0.00
  2083   589.87      0.00
  2084   591.28      0.00
  2085   592.60      0.00
  2086   593.81      0.00
  2087   594.93      0.00
  2088   595.96      0.00
  2089   596.89      0.00
  2090   597.72      0.00
  2091   598.47      0.00
  2092   599.14      0.00
  2093   599.77      0.00
  2094   600.35      0.00
  2095   600.88      0.00
  2096   601.36      0.00
  2097   601.79      0.00
  2098   602.17      0.00
  2099   602.50      0.00
  2100   602.78      0.00
