basinid	basin_name	continent	ocean	mouth_lon	mouth_lat	basin_area	runoff	din_yld	dip_yld	don_yld	dop_yld	doc_yld	pn_yld	pp_yld	poc_yld	tss_yld	din_load	dip_load	don_load	dop_load	doc_load	pn_load	pp_load	poc_load	tss_load	nat_DSi(kg Si/km2)	DSi_Ddip(kg_Si/km2)	DSi_Dsed(kg_Si/km2)	DSI_nat(kg_Si)	DSI_dip(kg_Si)	DSI_sed(kg_Si)
4203	GHAASBasin4203	North_America	Atlantic_Ocean	-70.25	43.75	2233.0	467.5	476.5	36.5	172.4	11.3	2153.4	98.7	28.0	603.8	8.0	1064	81	385	25	4809	220	62	1347	17910	2094.1035192	2094.1035192	2094.1035192	4670688.28401	4670688.28401	4670688.28401
4204	GHAASBasin4204	Oceania	Pacific_Ocean	169.75	-43.75	2233.0	3870.9	328.5	30.9	1249.8	70.9	14081.6	35206.1	11575.7	247013.6	30516.7	734	69	2791	158	31445	78524	25818	550939	68064496	29725.5980744	29725.5980744	29725.5980744	66299971.032	66299971.032	66299971.032
4205	HAAST	Oceania	Pacific_Ocean	169.25	-43.75	2214.3	4835.0	206.6	25.3	1574.8	90.6	17948.9	3799.1	1195.6	25615.8	2385.0	458	56	3487	201	39744	8473	2667	57133	5319570	19195.4471699	19195.4471699	19195.4471699	42813523.4865	42813523.4865	42813523.4865
4206	GHAASBasin4206	Asia	Pacific_Ocean	144.75	43.75	2233.0	720.4	329.6	22.8	227.8	12.9	2843.6	568.5	178.7	3842.5	364.8	736	51	509	29	6350	1268	399	8570	813683	12081.7994134	12081.7994134	12081.7994134	26947244.2276	26947244.2276	26947244.2276
4207	GHAASBasin4207	Asia	Pacific_Ocean	141.75	43.75	2233.0	772.8	604.1	51.3	277.6	17.7	3069.6	338.2	97.6	2101.0	55.6	1349	114	620	40	6854	754	218	4686	123979	4568.79161704	4568.79161704	4568.79161704	10190232.3749	10190232.3749	10190232.3749
4208	GHAASBasin4208	Oceans	Pacific_Ocean	-177.25	-43.75	2233.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	-9999	-9999	-9999	0	0	0
4209	GHAASBasin4209	North_America	Arctic_Ocean	-111.75	68.75	2190.4	112.2	5.1	0.4	30.3	1.4	507.6	51.6	14.9	321.1	9.0	11	1	66	3	1112	114	33	710	20014	15.527739902	15.527739902	15.527739902	34362.8884031	34362.8884031	34362.8884031
4210	GHAASBasin4210	North_America	Arctic_Ocean	-130.75	69.25	2240.8	98.7	8.1	0.3	26.5	1.3	556.3	43.3	12.5	269.0	7.1	18	1	59	3	1246	96	28	595	15774	40.8634201199	40.8634201199	40.8634201199	90430.7487252	90430.7487252	90430.7487252
4211	GHAASBasin4211	North_America	Arctic_Ocean	-131.75	69.25	2240.8	106.6	3.1	0.4	28.7	1.4	624.1	46.3	13.3	287.3	7.5	7	1	64	3	1398	102	29	636	16615	50.4405262212	50.4405262212	50.4405262212	111624.884528	111624.884528	111624.884528
4212	GHAASBasin4212	North_America	Arctic_Ocean	-132.75	69.25	2240.8	122.4	8.4	0.5	33.2	1.6	740.6	73.7	21.7	467.3	20.1	19	1	74	4	1660	163	48	1034	44568	50.9245723159	50.9245723159	50.9245723159	112696.078535	112696.078535	112696.078535
4213	GHAASBasin4213	Asia	Arctic_Ocean	166.75	69.25	2240.8	162.2	26.1	0.9	44.6	2.2	711.7	69.4	20.0	431.0	11.1	59	2	100	5	1595	154	44	954	24538	85.366180331	85.366180331	85.366180331	188915.357072	188915.357072	188915.357072
4214	GHAASBasin4214	North_America	Arctic_Ocean	-97.25	69.25	2240.8	116.2	1.2	0.5	31.4	1.5	502.4	34.6	9.8	212.8	3.8	3	1	70	3	1126	77	22	471	8301	17.9633301474	17.9633301474	17.9633301474	39752.8496162	39752.8496162	39752.8496162
4215	GHAASBasin4215	North_America	Arctic_Ocean	-131.25	69.25	2240.8	103.0	3.1	0.4	27.7	1.3	611.4	44.4	12.7	275.3	7.1	7	1	62	3	1370	98	28	609	15774	45.7931127216	45.7931127216	45.7931127216	101340.158453	101340.158453	101340.158453
4216	GHAASBasin4216	North_America	Arctic_Ocean	-132.25	69.25	2240.8	108.9	3.1	0.4	29.3	1.4	607.2	71.3	21.2	456.5	23.5	7	1	66	3	1361	158	47	1010	52081	50.886237338	50.886237338	50.886237338	112611.243229	112611.243229	112611.243229
4217	GHAASBasin4217	North_America	Arctic_Ocean	-133.75	69.25	2240.8	131.1	1.5	0.6	35.6	1.7	960.8	70.3	20.5	441.5	15.5	3	1	80	4	2153	156	45	977	34375	61.8547347399	61.8547347399	61.8547347399	136884.527979	136884.527979	136884.527979
4218	GHAASBasin4218	North_America	Arctic_Ocean	-109.75	68.75	2190.4	108.2	1.9	0.4	29.1	1.4	479.5	52.7	15.2	328.7	10.0	4	1	64	3	1050	117	34	727	22179	-9999	-9999	-9999	0	0	0
4219	GHAASBasin4219	Europe	Mediterranean+Black_Sea	28.25	44.25	2214.3	0.2	49.9	0.0	0.0	0.0	1.2	0.0	0.0	0.0	8.8	111	0	0	0	3	0	0	0	0	298.115796833	298.115796833	298.115796833	659342.693248	659342.693248	659342.693248
4220	GHAASBasin4220	Europe	Mediterranean+Black_Sea	15.75	44.25	2214.3	580.8	748.4	11.6	174.2	9.3	2317.5	535.9	185.7	3991.9	666.9	1657	26	386	21	5132	1185	411	8829	1475040	2361.34817183	2361.34817183	2361.34817183	5222593.63592	5222593.63592	5222593.63592
4221	GHAASBasin4221	Europe	Mediterranean+Black_Sea	15.25	44.25	2195.4	406.9	369.8	4.8	117.1	6.0	1652.7	465.7	169.4	3642.0	731.1	812	11	257	13	3628	1030	375	8055	1616910	1411.11131557	1411.11131557	1411.11131557	3120954.8275	3120954.8275	3120954.8275
4222	GHAASBasin4222	North_America	Atlantic_Ocean	-64.75	44.25	2214.3	868.1	316.7	8.3	297.2	17.4	3403.1	20.3	5.8	124.2	1.9	701	18	658	38	7535	45	13	275	4269	4268.08619469	640.255610065	349.598940207	9439726.02766	1416053.30141	773207.958925
4223	GHAASBasin4223	Oceania	Pacific_Ocean	169.25	-44.25	2214.3	3037.4	381.3	24.2	966.6	54.3	11156.9	2308.7	714.9	15330.0	1242.7	844	54	2140	120	24705	5106	1581	33905	2748540	29151.1824807	29151.1824807	29151.1824807	64473668.8642	64473668.8642	64473668.8642
4224	GHAASBasin4224	Oceania	Pacific_Ocean	168.75	-44.25	2214.3	3600.0	383.4	24.7	1155.4	65.5	13111.6	3079.2	1025.1	21969.4	2988.1	849	55	2558	145	29033	6810	2267	48590	6608730	31722.4841566	31722.4841566	31722.4841566	70160616.6548	70160616.6548	70160616.6548
4225	GHAASBasin4225	Oceania	Pacific_Ocean	168.25	-44.25	2195.4	3999.2	258.6	24.9	1290.2	73.5	14489.0	3409.4	1132.7	24270.0	3259.9	568	55	2832	161	31809	7541	2505	53678	7210030	19397.131037	19397.131037	19397.131037	42900633.7641	42900633.7641	42900633.7641
4226	GHAASBasin4226	Asia	Pacific_Ocean	143.25	44.25	2214.3	553.7	112.8	18.6	175.0	9.9	2214.6	168.6	48.1	1037.1	18.7	250	41	388	22	4904	373	106	2294	41264	2245.87276281	2245.87276281	2245.87276281	4967196.67946	4967196.67946	4967196.67946
4227	GHAASBasin4227	South_America	Atlantic_Ocean	-65.25	-44.25	2214.3	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	73.4965033875	73.4965033875	73.4965033875	162552.212941	162552.212941	162552.212941
4228	GHAASBasin4228	South_America	Atlantic_Ocean	-65.75	-44.25	2214.3	0.1	0.0	0.4	0.5	0.1	0.0	0.0	0.0	0.0	0.4	0	1	1	0	0	0	0	0	0	-9999	-9999	-9999	0	0	0
4229	GHAASBasin4229	Europe	Mediterranean+Black_Sea	38.75	44.25	2214.3	371.5	232.0	4.2	106.4	5.4	1515.7	452.4	165.4	3555.4	725.1	514	9	236	12	3356	1001	366	7863	1603750	1552.86196077	1552.86196077	1552.86196077	3434464.72254	3434464.72254	3434464.72254
4230	GHAASBasin4230	Europe	Mediterranean+Black_Sea	8.25	44.25	2214.3	307.1	1272.1	56.3	150.4	10.8	1264.8	417.2	153.0	3290.6	679.1	2817	125	333	24	2801	923	338	7278	1501880	2646.06041413	2646.06041413	2646.06041413	5852291.68827	5852291.68827	5852291.68827
4231	GHAASBasin4231	Asia	Pacific_Ocean	141.75	44.25	2214.3	792.4	322.9	16.5	241.1	13.0	3113.0	211.1	60.1	1295.2	20.7	715	36	534	29	6893	467	133	2865	45798	2548.19115855	2548.19115855	2548.19115855	5635834.26049	5635834.26049	5635834.26049
4232	GHAASBasin4232	North_America	Atlantic_Ocean	-65.75	44.25	2214.3	864.4	368.0	13.5	258.6	13.7	3381.0	218.4	62.2	1338.8	20.5	815	30	573	30	7487	483	137	2961	45298	3262.37354998	3262.37354998	3262.37354998	7215391.42064	7215391.42064	7215391.42064
4233	GHAASBasin4233	North_America	Arctic_Ocean	-95.75	79.75	2200.3	133.3	2.0	0.6	36.3	1.7	572.5	115.0	38.3	825.4	115.8	4	1	80	4	1260	253	84	1814	254541	27.2711138126	27.2711138126	27.2711138126	59931.002387	59931.002387	59931.002387
4234	GHAASBasin4234	Europe	Mediterranean+Black_Sea	28.75	44.75	2195.4	0.0	38.7	0.0	0.0	0.0	0.3	0.0	0.0	0.0	14.6	85	0	0	0	1	0	0	0	0	334.064907098	334.064907098	334.064907098	732537.544654	732537.544654	732537.544654
4235	GHAASBasin4235	Europe	Mediterranean+Black_Sea	15.25	44.75	2195.4	955.4	694.1	19.7	293.3	16.0	3718.4	844.8	286.7	6157.7	933.6	1524	43	644	35	8163	1852	629	13503	2047160	3404.82407775	3404.82407775	3404.82407775	7466098.40452	7466098.40452	7466098.40452
4236	GHAASBasin4236	North_America	Atlantic_Ocean	-62.75	44.75	2195.4	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	3987.24878455	3987.24878455	3987.24878455	8743239.33013	8743239.33013	8743239.33013
4237	GHAASBasin4237	North_America	Atlantic_Ocean	-63.25	44.75	2195.4	932.3	303.3	21.2	288.2	15.8	3632.9	160.1	45.4	977.4	11.2	666	47	633	35	7976	351	99	2143	24619	4139.82253284	4139.82253284	4139.82253284	9077803.05287	9077803.05287	9077803.05287
4238	GHAASBasin4238	Oceania	Pacific_Ocean	168.25	-44.75	2195.4	2754.4	381.4	23.8	872.2	48.8	10167.0	2020.4	617.8	13251.2	943.7	837	52	1915	107	22320	4430	1355	29057	2069290	15598.9369586	15598.9369586	15598.9369586	34205349.7272	34205349.7272	34205349.7272
4239	GHAASBasin4239	Europe	Mediterranean+Black_Sea	37.75	44.75	2195.4	102.5	223.4	41.6	77.6	7.2	446.1	119.9	43.6	939.2	189.7	491	91	170	16	979	263	96	2059	416058	913.061314338	913.061314338	913.061314338	2002160.89482	2002160.89482	2002160.89482
4240	GHAASBasin4240	Europe	Mediterranean+Black_Sea	33.75	44.75	2195.4	11.6	38.8	19.6	26.8	2.9	56.1	17.2	6.3	135.7	28.0	85	43	59	6	123	38	14	298	61348	508.411165739	508.411165739	508.411165739	1114844.02914	1114844.02914	1114844.02914
4241	GHAASBasin4241	North_America	Atlantic_Ocean	-63.75	44.75	2195.4	941.0	1030.5	88.0	358.5	23.2	3665.2	147.4	41.7	899.1	9.7	2262	193	787	51	8047	323	91	1972	21307	4133.3958146	4133.3958146	4133.3958146	9063710.54478	9063710.54478	9063710.54478
4242	GHAASBasin4242	North_America	Atlantic_Ocean	-64.25	44.75	2195.4	885.7	345.8	17.8	270.1	14.6	3460.0	286.4	81.9	1763.5	33.6	759	39	593	32	7596	628	180	3867	73606	3172.22227363	3172.22227363	3172.22227363	6956049.15705	6956049.15705	6956049.15705
4243	GHAASBasin4243	North_America	Atlantic_Ocean	-67.25	44.75	2195.4	518.5	223.3	8.7	153.0	8.0	2857.7	83.9	23.7	511.6	5.6	490	19	336	18	6274	184	52	1122	12378	2496.13394929	2496.13394929	2496.13394929	5473522.64631	5473522.64631	5473522.64631
4244	GHAASBasin4244	Oceania	Pacific_Ocean	167.75	-44.75	2195.4	3886.5	297.9	24.8	1252.0	71.2	14100.9	3163.0	1016.5	21784.2	2385.0	654	55	2749	156	30957	6936	2229	47768	5229890	22265.7719441	22265.7719441	22265.7719441	48824385.8101	48824385.8101	48824385.8101
4245	GHAASBasin4245	South_America	Atlantic_Ocean	-66.25	-44.75	2195.4	0.1	0.0	0.4	0.5	0.1	0.0	0.0	0.0	0.0	9.2	0	1	1	0	0	0	0	0	0	-9999	-9999	-9999	0	0	0
4246	GHAASBasin4246	Asia	Arctic_Ocean	77.75	69.25	2190.4	353.5	54.4	3.8	101.0	5.1	1446.1	86.7	24.6	531.4	7.9	119	8	221	11	3168	190	54	1163	17360	813.693779855	813.693779855	813.693779855	1780199.29144	1780199.29144	1780199.29144
4247	GHAASBasin4247	North_America	Arctic_Ocean	-67.75	69.25	2190.4	160.4	25.2	0.9	44.1	2.1	682.4	142.9	48.6	1046.3	162.0	55	2	96	5	1495	313	106	2289	354373	118.992193804	118.992193804	118.992193804	260331.127436	260331.127436	260331.127436
4248	GHAASBasin4248	Europe	Arctic_Ocean	32.75	69.25	2190.4	470.3	29.8	8.9	139.7	7.4	1947.5	122.7	34.9	752.9	11.8	65	20	306	16	4266	269	76	1647	25890	1096.87061265	1096.87061265	1096.87061265	2399733.5801	2399733.5801	2399733.5801
4249	GHAASBasin4249	North_America	Arctic_Ocean	-82.25	69.25	2190.4	190.8	8.4	1.2	52.9	2.6	854.3	73.8	21.2	456.8	10.5	18	3	116	6	1871	162	46	999	22891	46.3993519284	46.3993519284	46.3993519284	101512.504423	101512.504423	101512.504423
4250	GHAASBasin4250	Asia	Arctic_Ocean	168.75	69.25	2240.8	71.3	12.8	0.2	18.8	0.9	315.8	43.3	12.7	274.6	12.1	29	0	42	2	708	95	28	601	26413	75.2930805657	75.2930805657	75.2930805657	164726.205351	164726.205351	164726.205351
4251	GHAASBasin4251	Asia	Arctic_Ocean	109.75	76.75	2204.3	148.6	23.9	0.8	40.7	2.0	634.9	75.4	21.8	471.3	15.0	53	2	90	4	1400	164	48	1025	32557	150.811329642	150.811329642	150.811329642	328090.047636	328090.047636	328090.047636
4252	GHAASBasin4252	Asia	Land	59.25	45.25	2176.3	0.0	33.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.5	73	0	0	0	0	0	0	0	0	-9999	-9999	-9999	0	0	0
4253	GHAASBasin4253	Asia	Land	58.25	45.25	2176.3	0.1	0.0	0.8	1.0	0.1	0.0	0.0	0.0	0.0	109.7	0	2	2	0	0	0	0	0	0	-9999	-9999	-9999	0	0	0
4254	GHAASBasin4254	North_America	Atlantic_Ocean	-65.75	45.25	2176.3	798.2	780.7	30.9	254.0	15.2	3196.1	161.1	45.7	985.3	12.7	1699	67	553	33	6956	350	99	2142	27558	1845.17844146	1845.17844146	1845.17844146	4010864.28778	4010864.28778	4010864.28778
4255	GHAASBasin4255	Oceania	Pacific_Ocean	167.25	-45.25	2157.1	3836.1	342.5	24.8	1235.0	70.2	13927.3	3570.9	1246.1	26697.2	4530.5	739	53	2664	151	30042	7762	2709	58032	9847979	26070.8989666	26070.8989666	26070.8989666	56670311.8063	56670311.8063	56670311.8063
4256	GHAASBasin4256	Asia	Pacific_Ocean	142.25	45.25	2176.3	670.4	157.0	10.0	197.8	10.3	2714.6	204.2	58.3	1255.9	22.6	342	22	430	22	5908	444	127	2730	49123	1687.40871942	1687.40871942	1687.40871942	3667920.25073	3667920.25073	3667920.25073
4257	GHAASBasin4257	Asia	Land	53.25	45.25	2176.3	0.0	0.2	0.1	0.1	0.0	0.0	0.0	0.0	0.0	6.2	0	0	0	0	0	0	0	0	0	-9999	-9999	-9999	0	0	0
4258	GHAASBasin4258	Asia	Land	52.25	45.25	2176.3	0.0	0.5	0.2	0.3	0.0	0.0	0.0	0.0	0.0	3.4	1	0	1	0	0	0	0	0	0	-9999	-9999	-9999	0	0	0
4259	GHAASBasin4259	South_America	Atlantic_Ocean	-66.75	-45.25	2176.3	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	22.8804838387	22.8804838387	22.8804838387	49735.306599	49735.306599	49735.306599
4260	GHAASBasin4260	Europe	Mediterranean+Black_Sea	37.25	45.25	2176.3	263.4	253.6	3.0	75.4	3.8	1098.8	88.6	25.3	546.2	10.8	552	7	164	8	2391	193	55	1187	23489	344.309734413	344.309734413	344.309734413	748426.052821	748426.052821	748426.052821
4261	GHAASBasin4261	Europe	Mediterranean+Black_Sea	36.25	45.25	2176.3	24.4	134.6	45.0	61.1	6.7	116.8	16.0	4.7	102.2	5.3	293	98	133	15	254	35	10	222	11429	-9999	-9999	-9999	0	0	0
4262	GHAASBasin4262	Europe	Mediterranean+Black_Sea	35.75	45.25	2176.3	0.1	0.0	2.6	3.2	0.4	0.0	0.0	0.0	0.0	4.2	0	6	7	1	0	0	0	0	0	-9999	-9999	-9999	0	0	0
4263	GHAASBasin4263	Europe	Mediterranean+Black_Sea	35.25	45.25	2176.3	0.1	0.0	15.0	18.2	2.1	0.0	0.0	0.0	0.0	4.7	0	33	40	5	0	0	0	0	0	-9999	-9999	-9999	0	0	0
4264	GHAASBasin4264	North_America	Atlantic_Ocean	-61.75	45.25	2176.3	1141.1	405.5	17.6	346.8	18.6	4401.7	188.6	53.4	1150.7	12.9	883	38	755	41	9580	410	116	2501	27997	4597.05794849	4597.05794849	4597.05794849	9992624.63737	9992624.63737	9992624.63737
4265	GHAASBasin4265	North_America	Atlantic_Ocean	-62.25	45.25	2176.3	1098.0	469.8	18.7	335.0	18.1	4243.5	185.6	52.6	1133.1	12.9	1022	41	729	39	9235	404	114	2463	27997	4841.0995031	4841.0995031	4841.0995031	10523097.7527	10523097.7527	10523097.7527
4266	GHAASBasin4266	North_America	Atlantic_Ocean	-66.75	45.25	2176.3	775.7	910.0	42.3	257.4	15.0	3050.7	227.3	64.9	1397.3	24.3	1981	92	560	33	6639	494	141	3037	52775	2685.20586496	2685.20586496	2685.20586496	5836831.85708	5836831.85708	5836831.85708
4267	GHAASBasin4267	South_America	Atlantic_Ocean	-67.25	-45.25	2176.3	0.1	0.0	0.3	0.3	0.0	0.0	0.0	0.0	0.0	53.9	0	1	1	0	0	0	0	0	0	-9999	-9999	-9999	0	0	0
4268	GHAASBasin4268	Asia	Land	61.75	45.25	2176.3	0.0	0.5	0.2	0.3	0.0	0.1	0.0	0.0	0.0	3.0	1	1	1	0	0	0	0	0	0	-9999	-9999	-9999	0	0	0
4269	GHAASBasin4269	Europe	Mediterranean+Black_Sea	13.75	45.25	2176.3	213.0	1274.2	18.0	82.9	4.5	893.6	144.6	43.2	931.3	52.7	2773	39	180	10	1945	314	94	2024	114517	1296.88501042	1296.88501042	1296.88501042	2819038.88359	2819038.88359	2819038.88359
4270	GHAASBasin4270	North_America	Arctic_Ocean	-77.25	69.25	2114.5	92.0	14.4	0.3	24.6	1.2	402.4	36.6	10.5	226.4	5.3	30	1	52	2	851	79	23	490	11550	55.1977308676	55.1977308676	55.1977308676	119370.618184	119370.618184	119370.618184
4271	GHAASBasin4271	North_America	Arctic_Ocean	-98.25	69.75	2190.4	57.0	1.3	0.1	14.9	0.7	256.7	23.6	6.8	146.0	3.6	3	0	33	2	562	51	15	316	7692	15.5265550671	15.5265550671	15.5265550671	33577.7295098	33577.7295098	33577.7295098
4273	GHAASBasin4273	North_America	Arctic_Ocean	-121.75	69.75	2165.2	140.3	3.9	0.7	38.3	1.8	601.0	60.8	17.5	377.5	9.9	9	1	83	4	1301	131	38	816	21336	75.3925674493	75.3925674493	75.3925674493	163043.973754	163043.973754	163043.973754
4274	GHAASBasin4274	North_America	Arctic_Ocean	-122.25	69.75	2165.2	145.4	2.3	0.7	39.7	1.9	621.6	59.3	17.0	367.5	8.9	5	2	86	4	1346	128	37	795	19323	80.6440023701	80.6440023701	80.6440023701	174400.727429	174400.727429	174400.727429
