basinid	basin_name	continent	ocean	mouth_lon	mouth_lat	basin_area	runoff	din_yld	dip_yld	don_yld	dop_yld	doc_yld	pn_yld	pp_yld	poc_yld	tss_yld	din_load	dip_load	don_load	dop_load	doc_load	pn_load	pp_load	poc_load	tss_load	nat_DSi(kg Si/km2)	DSi_Ddip(kg_Si/km2)	DSi_Dsed(kg_Si/km2)	DSI_nat(kg_Si)	DSI_dip(kg_Si)	DSI_sed(kg_Si)
1	Amazon	South_America	Atlantic_Ocean	-51.75	-1.25	5888930.0	1057.6	582.6	17.4	321.0	17.3	4818.6	472.0	138.3	2933.5	79.0	3409004	102219	1890211	101781	28376511	2759479	808686	17151902	461775456	3351.41833817	3350.47994104	3350.34588431	19595307338.9	19589820652.9	19589036840.6
2	Nile	Africa	Mediterranean+Black_Sea	31.25	31.25	3826750.0	123.1	1.8	0.0	0.1	0.0	2.1	7.3	2.2	47.1	3.0	6708	10	536	31	7901	27709	8463	180159	11565236	395.606010196	59.3409015294	25.3029604121	1511843972.5	226776595.876	96697540.4814
3	Zaire	Africa	Atlantic_Ocean	12.75	-5.75	3733740.0	618.7	218.2	10.1	183.1	9.6	2890.5	223.9	65.0	1382.4	29.3	806671	37860	683722	35798	10792390	827252	240288	5107337	108243000	2009.52038084	1359.2395856	787.772179696	7424032380.57	5021615502.22	2910369173.83
4	Mississippi	North_America	Atlantic_Ocean	-90.25	29.75	3203120.0	85.4	182.5	5.8	30.4	2.2	399.6	52.3	15.7	334.5	17.1	584074	18643	97328	7098	1279971	167284	50220	1070272	54638480	539.474514528	449.30674417	484.631535381	1725870682.64	1437408656.74	1550418669.04
5	Ob	Asia	Arctic_Ocean	69.25	66.75	3101110.0	72.7	42.6	3.4	24.0	1.5	410.9	47.7	14.3	305.7	16.2	128922	10478	74385	4528	1274312	144061	43342	923983	49052504	355.767139316	332.503526076	337.324170814	1075242140.5	1004932056.93	1019501587.93
6	Parana	South_America	Atlantic_Ocean	-58.75	-34.25	2714830.0	233.9	95.5	1.8	77.7	5.1	1219.4	61.8	18.5	393.8	19.1	254472	4834	210898	13794	3310413	164312	49245	1047978	50802904	1285.53864947	192.83079742	467.036191351	3420676936.98	513101540.547	1242731931.2
7	Yenisei	Asia	Arctic_Ocean	82.25	71.25	2620720.0	116.3	25.1	0.6	33.1	1.7	521.1	45.4	13.3	284.5	9.6	64674	1576	86805	4452	1365730	116944	34371	732679	24636566	577.216579067	103.391033642	368.5585579	1486713654.04	266300149.712	949281535.241
8	Lena	Asia	Arctic_Ocean	127.25	73.25	2500290.0	80.5	14.0	0.5	21.8	1.1	362.4	47.1	13.9	297.3	12.0	34194	1339	54407	2679	906138	114808	33995	725063	29220914	363.476519739	362.506037431	362.364281588	886482883.991	884115974.691	883770246.366
9	Niger	Africa	Atlantic_Ocean	6.75	4.75	2238850.0	181.2	71.3	2.9	56.1	3.1	881.3	59.0	17.3	369.4	12.5	159672	6412	125686	6891	1973112	131900	38796	826583	27959450	382.987576893	217.877802618	220.447649259	856881085.037	487471080.466	493220752.547
10	Tamanrasett	Africa	Atlantic_Ocean	-16.25	20.25	1817700.0	0.0	0.1	0.1	0.4	0.0	0.0	0.0	0.0	0.0	5.2	271	233	727	86	7	0	0	0	0	-9999	-9999	-9999	0	0	0
11	Chang_Jiang	Asia	Pacific_Ocean	121.75	31.25	1793040.0	254.1	593.1	13.6	102.0	8.4	1142.8	76.4	26.1	555.3	83.1	1063487	24399	182830	15042	2049006	136899	46773	995144	148920656	2131.23015069	1125.43870568	592.481981892	3819420177.66	2016921213.22	1061798809.39
12	Amur	Asia	Pacific_Ocean	140.75	53.25	1794130.0	87.6	142.2	8.3	29.3	1.7	425.4	36.6	10.8	230.3	8.5	249230	14965	52634	3037	763206	64166	18911	403656	14950084	693.271105804	611.430451764	600.421306603	1215026940.03	1071593009.76	1052298381.95
13	Mackenzie	North_America	Arctic_Ocean	-134.75	69.25	1710570.0	69.4	14.8	0.2	18.3	0.9	454.6	43.0	13.5	287.7	25.1	25109	364	31261	1487	777565	72779	22827	487113	42535596	474.692034778	447.145656	443.015835298	803606145.676	756972881.043	749981507.575
14	Ganges	Asia	Indian_Ocean	90.75	22.75	1626810.0	562.3	1334.1	43.9	208.9	14.6	2999.8	796.4	295.9	6281.9	1296.9	2170340	71485	339872	23754	4880134	1295296	481306	10217385	2109420544	1979.85772069	1965.18697498	1964.13765039	3220179186.97	3196317659.19	3194610964.23
15	CHARI_BOUSSO/_Lake_Chad	Africa	Land	14.25	12.25	1546960.0	110.7	38.9	2.1	33.1	1.8	612.1	60.7	18.2	387.3	19.0	60217	3316	51196	2792	946864	93804	28060	598664	29340284	301.558016287	300.568905994	300.433204886	466133303.676	464604386.44	464394626.453
16	Volga	Europe	Land	48.25	46.25	1491700.0	58.7	14.0	2.2	33.3	2.8	273.6	3.1	0.9	20.0	1.0	20654	3312	49698	4185	408201	4605	1380	29463	1502941	269.241761081	40.3862641622	20.5916098875	397037362.978	59555604.4468	30365417.5206
17	Zambezi	Africa	Indian_Ocean	36.25	-18.75	1363770.0	237.9	100.3	0.6	69.5	3.6	1101.5	39.0	11.8	252.2	15.3	136850	857	94833	4926	1502165	53071	16126	343515	20803704	927.56885293	377.353560749	356.520364312	1263311674.94	513940455.598	485566475.379
18	GreatArtesian/CopperCR	Australia	Land	136.75	-28.75	1171860.0	0.1	0.2	0.1	0.2	0.0	0.0	0.0	0.0	0.0	25.9	176	123	206	24	0	0	0	0	0	-9999	-9999	-9999	0	0	0
19	Tarim	Asia	Land	86.25	41.25	1157760.0	14.7	2.5	0.5	4.3	0.2	84.7	26.2	9.6	205.3	41.5	2917	573	4951	274	98072	30225	11089	236972	47960100	38.5441618922	38.5441618922	38.5441618922	44495380.4883	44495380.4883	44495380.4883
20	Indus	Asia	Indian_Ocean	67.75	24.25	1141550.0	54.3	170.9	6.0	22.1	1.9	162.6	19.2	6.2	132.8	14.9	195116	6845	25256	2193	185627	21955	7102	151681	16969868	319.11101532	47.866652298	0	364345001.741	54651750.2612	0
21	Nelson	North_America	Atlantic_Ocean	-92.75	57.25	1139380.0	53.8	63.0	0.3	18.2	1.0	446.2	4.2	1.3	27.1	1.4	71763	321	20721	1142	508394	4832	1445	30879	1548940	338.108729456	68.778077746	47.7510958611	384909739.788	78298339.2676	54360802.5502
22	Kerulen	Asia	Land	117.75	49.25	1090490.0	0.2	1.6	0.6	0.8	0.1	1.1	0.0	0.0	0.0	8.5	1763	601	881	101	1195	0	0	0	0	71.0483933167	71.0483933167	71.0483933167	77336176.1252	77336176.1252	77336176.1252
23	Syr-Darya	Asia	Land	61.25	45.75	1057140.0	43.2	3.8	0.8	15.7	1.0	207.4	15.1	5.5	118.2	23.9	3967	797	16599	1085	219286	15958	5852	125028	25247590	119.611872199	32.5487826627	53.5191360965	126488358.731	34420012.178	56595951.2307
24	SAINT_LAWRENCE	North_America	Atlantic_Ocean	-70.75	47.25	1052770.0	435.3	155.2	4.8	145.6	9.3	2097.9	21.6	6.2	132.5	2.0	163378	5083	153263	9810	2208622	22754	6539	139470	2096083	731.391958234	262.620910443	205.996545037	769768094.282	276400629.614	216805183.755
25	Orinoco	South_America	Atlantic_Ocean	-61.25	8.75	1039310.0	1498.7	481.8	5.5	466.0	25.7	7544.4	141.4	41.8	888.9	32.5	500783	5676	484296	26671	7841019	146784	43420	922808	33696304	4194.42099785	1251.74105839	1071.54873232	4354354270.5	1299469944.95	1112406885.49
26	Murray	Australia	Indian_Ocean	139.25	-35.25	1031610.0	11.3	6.6	0.1	1.4	0.1	19.9	5.8	2.1	45.2	9.0	6791	83	1397	90	20575	5964	2179	46601	9323360	169.061570636	105.604310098	99.8815759318	174182445.611	108803064.651	102906988.867
27	Shatt_el_Arab	Asia	Indian_Ocean	48.25	30.25	989268.0	69.0	37.2	2.0	33.8	2.7	326.5	11.8	3.7	78.9	6.7	36759	1971	33445	2638	322985	11696	3654	78039	6623981	139.073674149	20.8610511224	0	137536631.903	20630494.7854	0
28	Orange	Africa	Atlantic_Ocean	16.75	-28.25	943447.0	1.2	0.2	0.4	3.7	0.4	6.5	3.6	1.1	23.1	1.3	210	395	3528	396	6099	3374	1020	21756	1249185	151.99681168	22.799521752	12.8224510333	143250763.139	21487614.4709	12084634.3784
29	Huang_He	Asia	Pacific_Ocean	118.25	37.75	893310.0	15.0	31.8	1.7	17.4	1.8	73.4	1.9	0.7	14.6	2.7	28384	1482	15575	1607	65602	1699	609	13008	2421543	410.81392051	61.6220880765	0	366680181.029	55002027.1544	0
30	Yukon	North_America	Pacific_Ocean	-164.75	62.75	895236.0	114.1	19.6	0.5	30.9	1.5	701.9	63.0	20.4	436.5	49.6	16704	455	27666	1335	628378	53871	17469	373033	42379800	357.049462409	357.049462409	357.049462409	305166605.026	305166605.026	305166605.026
31	Senegal	Africa	Atlantic_Ocean	-16.25	16.25	846685.0	71.0	13.0	0.5	19.9	1.0	332.2	30.2	9.3	199.4	15.4	11046	423	16880	858	281289	25547	7900	168770	12996391	132.139370323	59.9635248589	56.1314831196	111825452.784	50745272.2189	47502334.0881
32	Irharhar	Africa	Mediterranean+Black_Sea	9.75	34.25	842590.0	1.0	1.8	1.6	2.8	0.3	5.7	0.0	0.0	0.0	11.8	1479	1368	2393	267	4824	0	0	0	0	-9999	-9999	-9999	0	0	0
33	Jubba	Africa	Indian_Ocean	42.25	0.25	815828.0	18.5	8.8	1.0	5.4	0.3	92.7	58.0	20.5	437.8	77.5	7186	811	4417	244	75627	47239	16711	356862	63159596	519.29180769	519.29180769	519.29180769	423269040.238	423269040.238	423269040.238
34	Colorado_(Ari)	North_America	Pacific_Ocean	-114.75	31.75	806433.0	2.3	0.0	0.0	0.0	0.0	0.1	1.6	0.6	13.0	2.7	2	2	22	2	54	1327	488	10464	2157521	210.54999724	31.582499586	23.7710946884	169833207.124	25474981.0685	19174169.0843
35	Rio_Grande_(US)	North_America	Atlantic_Ocean	-97.25	25.75	804205.0	1.0	0.4	0.0	0.3	0.0	0.2	0.0	0.0	0.0	1.2	322	26	212	24	175	0	0	0	0	225.756598758	33.8634898137	0	181471507.076	27220726.0613	0
36	Danube	Europe	Mediterranean+Black_Sea	29.25	45.25	787291.0	213.8	245.1	32.2	105.3	7.9	937.3	76.1	23.1	492.0	29.5	192998	25328	82878	6199	737942	59869	18156	387225	23211754	1049.25496254	986.0898138	488.669513706	825836054.115	776120723.657	384616625.483
37	Tocantins	South_America	Atlantic_Ocean	-49.25	-2.25	768142.0	1190.4	343.9	3.6	365.8	21.7	6529.4	82.9	24.3	516.5	15.1	264142	2792	280970	16641	5015489	63612	18633	396490	11607648	2119.17352415	648.742590949	308.106638677	1626900110.36	498042930.785	236535007.045
38	Mekong	Asia	Pacific_Ocean	106.25	10.25	757852.0	591.0	465.1	19.4	187.8	13.9	2603.5	443.6	151.0	3212.8	472.0	352489	14720	142358	10542	1973073	336129	114404	2434201	357622528	2965.56065339	2715.9790688	2557.85537476	2246886684.65	2057788701.27	1937984703.24
39	Bode_le_Depression	Africa	Land	17.75	16.75	756596.0	0.5	0.5	0.1	0.2	0.0	3.1	0.0	0.0	0.0	19.0	363	40	130	9	2333	0	0	0	0	-9999	-9999	-9999	0	0	0
40	Columbia	North_America	Pacific_Ocean	-123.75	46.25	731473.0	175.0	88.1	0.7	53.1	3.2	792.0	29.9	8.8	187.0	6.3	64434	502	38841	2316	579296	21828	6405	136738	4580173	2057.24223901	308.586335851	625.257633701	1504060087.15	225609013.072	457128982.287
41	Araye	Africa	Mediterranean+Black_Sea	20.25	30.25	726928.0	0.0	0.1	0.1	0.2	0.0	0.1	0.0	0.0	0.0	4.0	56	54	136	16	91	0	0	0	0	-9999	-9999	-9999	0	0	0
42	Okavango	Africa	Land	23.25	-20.25	700929.0	25.5	19.9	0.4	6.7	0.3	136.8	12.7	4.7	100.4	20.7	13917	248	4712	225	95866	8916	3288	70292	14483868	261.353822381	261.353822381	261.353822381	183025297.752	183025297.752	183025297.752
43	Kolyma	Asia	Arctic_Ocean	161.25	69.25	667270.0	91.6	11.0	0.3	25.3	1.2	431.2	49.5	14.5	310.8	11.1	7347	230	16899	802	287702	32907	9668	206664	7362450	264.781190387	264.781190387	264.781190387	176040039.21	176040039.21	176040039.21
44	Amu-Darya	Asia	Land	59.25	43.75	615506.0	94.8	40.2	2.9	31.1	1.8	426.0	52.6	17.4	371.7	47.7	24730	1775	19169	1111	262220	32455	10732	229205	29438554	263.58245146	189.829445717	179.750052773	162518613.591	117044280.322	110829568.539
45	Sao_Francisco	South_America	Atlantic_Ocean	-36.75	-10.25	614832.0	278.2	96.6	2.3	92.2	8.2	1395.6	11.8	3.5	73.8	2.6	59364	1408	56714	5033	858038	7225	2125	45334	1580137	840.375234567	126.056285185	79.3818446572	516341670.872	77451250.6309	48773634.2306
46	Qattara	Africa	Mediterranean+Black_Sea	28.75	30.75	582681.0	0.1	0.0	0.1	0.1	0.0	0.0	0.0	0.0	0.0	4.8	0	43	73	9	0	0	0	0	0	-9999	-9999	-9999	0	0	0
47	Dnepr	Europe	Mediterranean+Black_Sea	32.25	46.25	507521.0	50.9	3.5	2.9	36.8	3.3	254.7	2.2	0.7	14.3	0.7	1769	1485	18664	1675	129282	1134	339	7251	367503	348.47691864	52.271537796	24.7906479921	177107818.268	26566172.7402	12599450.1916
48	Dawasir	Asia	Indian_Ocean	51.25	24.75	474214.0	0.1	0.0	3.5	6.5	0.8	0.0	0.0	0.0	0.0	3.5	0	1659	3093	364	0	0	0	0	0	-9999	-9999	-9999	0	0	0
49	Don	Europe	Mediterranean+Black_Sea	38.75	47.25	421711.0	26.0	61.7	13.5	20.7	2.1	89.6	18.9	5.8	123.5	8.5	26021	5695	8740	874	37786	7979	2435	52186	3601700	222.510367093	222.510367093	222.510367093	94018862.9803	94018862.9803	94018862.9803
50	Colorado_(Argentina)	South_America	Atlantic_Ocean	-62.25	-39.75	422203.0	24.4	9.2	2.3	9.0	0.6	121.3	259.3	84.1	1793.1	201.7	3897	952	3815	260	51209	109254	35427	755421	84977128	151.203435502	151.203435502	151.203435502	63701704.9702	63701704.9702	63701704.9702
51	Limpopo	Africa	Indian_Ocean	33.75	-24.75	420092.0	0.2	15.4	8.0	11.4	1.3	1.2	0.0	0.0	0.0	58.6	6467	3346	4787	562	509	0	0	0	0	357.495977639	273.799019354	262.437797185	150090753.756	114951506.487	110181622.332
52	HELMAND/_Farah	Asia	Land	61.25	30.25	419471.0	42.2	5.3	0.5	12.2	0.6	202.5	29.8	9.9	212.2	28.3	2239	210	5110	272	84951	12521	4160	89023	11880793	95.7875633854	88.6389375299	88.0335601293	40194473.1353	37194759.6052	36940730.535
53	Muqshin	Asia	Indian_Ocean	56.25	18.75	414789.0	0.1	0.0	2.2	2.0	0.2	0.0	0.0	0.0	0.0	3.8	0	930	813	96	0	0	0	0	0	-9999	-9999	-9999	0	0	0
54	Zhujiang	Asia	Pacific_Ocean	113.25	22.25	408123.0	374.3	793.3	19.9	137.8	10.8	1591.1	179.3	56.2	1197.9	103.1	323770	8142	56220	4396	649367	73148	22921	488809	42072624	3201.62521198	1913.00308041	775.369593838	1306400756.37	780587515.941	316384135.179
55	Irrawaddy	Asia	Indian_Ocean	95.25	15.75	405540.0	1033.9	525.6	26.1	323.5	20.0	4390.2	915.3	313.8	6676.7	1016.0	213135	10585	131192	8111	1780411	371134	127228	2707294	411982016	4343.21562117	4343.21562117	4343.21562117	1761091413.29	1761091413.29	1761091413.29
56	Volta	Africa	Atlantic_Ocean	0.25	5.75	397915.0	238.0	56.2	0.8	70.7	3.8	1049.2	3.8	1.1	23.6	0.8	22372	320	28127	1494	417485	1495	439	9386	330538	711.395187908	116.092580715	45.7498245344	282849303.922	46158177.907	18190038.7352
57	GHAASBasin57	Asia	Land	53.75	39.75	374189.0	33.7	13.9	3.0	12.6	0.9	165.1	33.9	12.1	259.9	48.7	5187	1135	4718	325	61775	12657	4535	97062	18185610	61.4176257427	61.4176257427	61.4176257427	22939483.2149	22939483.2149	22939483.2149
58	Khatanga	Asia	Arctic_Ocean	106.25	73.25	372111.0	233.2	14.7	1.5	55.2	2.7	867.3	105.4	30.7	655.7	18.4	5457	574	20529	1016	322722	38973	11351	242561	6802014	384.191907632	384.191907632	384.191907632	142118349.512	142118349.512	142118349.512
59	Dvina	Europe	Arctic_Ocean	40.25	64.75	360746.0	176.9	30.0	3.7	54.3	2.9	827.7	66.2	19.2	409.8	9.5	10818	1339	19571	1038	298600	23875	6907	147727	3408149	566.154527381	566.154527381	566.154527381	204106067.13	204106067.13	204106067.13
60	Urugay	South_America	Atlantic_Ocean	-58.25	-33.75	355417.0	298.1	348.0	2.0	94.6	6.4	1254.2	21.0	6.1	129.8	3.1	123690	703	33638	2259	445763	7442	2157	46084	1094722	4063.48102999	609.522154498	586.279043006	1442877098.05	216431564.708	208178307.707
61	Dzungarian	Asia	Land	85.75	45.75	338068.0	1.1	1.4	1.0	1.3	0.1	6.4	665.9	195.2	4159.0	129.2	489	349	454	47	2153	224894	65939	1404736	43641080	38.8915950722	38.8915950722	38.8915950722	13135830.6936	13135830.6936	13135830.6936
62	GHAASBasin62	Africa	Mediterranean+Black_Sea	15.75	31.25	338138.0	0.1	0.0	0.1	0.2	0.0	0.0	0.0	0.0	0.0	5.1	0	35	51	6	0	0	0	0	0	-9999	-9999	-9999	0	0	0
63	Indigirka	Asia	Arctic_Ocean	149.75	71.25	334414.0	109.7	12.0	0.5	33.7	1.6	584.9	61.1	18.0	384.4	14.4	3998	165	11267	538	195588	20381	5996	128276	4804687	215.046979981	215.046979981	215.046979981	71767413.5822	71767413.5822	71767413.5822
64	GHAASBasin64	Asia	Land	53.25	34.25	332881.0	19.7	13.8	5.4	11.8	1.0	135.4	29.2	10.8	230.4	47.5	4602	1791	3921	341	45077	9714	3577	76604	15799900	-9999	-9999	-9999	0	0	0
65	Parnaiba	South_America	Atlantic_Ocean	-41.75	-3.25	330838.0	276.4	55.8	5.9	83.3	4.9	1606.7	71.3	21.0	447.9	16.1	18477	1968	27552	1634	531546	23571	6932	148079	5316156	1025.73945993	680.773022161	615.556507298	339094079.361	225053349.531	203493747.965
66	Pechora	Europe	Arctic_Ocean	54.25	68.25	314430.0	202.8	41.9	2.1	58.3	2.9	972.7	82.4	23.9	510.4	12.4	13189	669	18345	924	305860	25861	7492	160227	3878098	793.126387179	793.126387179	793.126387179	248975062.958	248975062.958	248975062.958
67	Godavari	Asia	Indian_Ocean	81.75	16.75	311344.0	230.0	497.8	15.7	88.4	6.4	987.8	180.1	63.1	1346.3	228.5	154977	4897	27529	2005	307545	56040	19630	418964	71096784	1700.35172472	1609.41691448	1600.50707144	529159658.843	500860200.288	498087403.676
68	Churchill_(Hudson_Bay)	North_America	Atlantic_Ocean	-94.25	58.75	303178.0	80.9	13.1	0.0	14.1	0.7	341.4	32.8	9.5	203.5	5.1	3964	10	4268	202	103508	9944	2880	61683	1554793	533.674337214	533.674337214	533.674337214	161775370.211	161775370.211	161775370.211
69	KAZAN/_Baker	North_America	Atlantic_Ocean	-90.75	63.25	303126.0	150.2	9.9	0.8	41.2	2.0	657.1	45.0	12.9	276.8	4.9	3014	239	12482	605	199187	13643	3918	83892	1488385	111.172718523	111.172718523	111.172718523	33698118.575	33698118.575	33698118.575
70	Ural	Asia	Land	51.75	47.25	295884.0	13.7	25.1	3.0	8.7	0.8	66.5	18.6	6.8	146.2	29.7	7413	894	2576	228	19668	5514	2020	43277	8789622	117.80142117	110.179669221	109.047597563	34861092.3683	32605579.6921	32270564.5944
72	Neva	Europe	Atlantic_Ocean	29.25	60.25	283841.0	174.3	27.8	3.6	60.1	3.7	795.0	20.3	5.8	124.7	2.4	7891	1016	17046	1062	225641	5757	1656	35447	668692	589.92760827	316.926808991	335.019888737	167637368.732	90059823.6037	95201261.7027
73	GHAASBasin73	Australia	Land	127.25	-20.25	276182.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.4	0	1	2	0	0	0	0	0	0	69.6486476649	69.6486476649	69.6486476649	19233195.4581	19233195.4581	19233195.4581
74	HUN/_Liao	Asia	Pacific_Ocean	122.25	40.75	273824.0	12.4	24.5	6.2	15.2	1.5	63.5	10.7	3.9	84.4	17.4	6711	1699	4170	417	17389	2929	1078	23104	4769921	387.668951297	260.319700796	246.735780742	106115846.701	71256791.0594	67538491.791
75	Salween	Asia	Indian_Ocean	97.25	16.75	272866.0	363.7	233.4	6.9	107.6	6.0	1662.3	316.0	106.8	2278.9	327.6	63684	1885	29369	1641	453596	86291	29165	622213	89455904	2239.88981755	2239.88981755	2239.88981755	611575036.004	611575036.004	611575036.004
76	Dead_Sea	Asia	Land	35.25	31.75	266396.0	9.2	19.9	17.9	16.3	1.8	47.7	13.0	4.8	102.8	21.2	5307	4770	4331	468	12700	3468	1275	27354	5648130	23.0806487364	23.0806487364	23.0806487364	6138760.14443	6138760.14443	6138760.14443
77	Magdalena	South_America	Atlantic_Ocean	-74.75	10.75	251789.0	836.1	836.2	45.1	299.6	19.9	3347.2	508.4	158.7	3382.5	279.6	210543	11366	75425	5021	842787	127828	39904	850516	70301512	7704.70967538	6098.50884936	6123.39506161	1937310724.33	1533439557.63	1539697071.27
78	Krishna	Asia	Indian_Ocean	80.75	16.25	251609.0	39.5	14.5	2.2	29.7	2.8	243.3	5.6	2.1	44.1	9.1	3636	564	7465	702	61226	1407	518	11095	2290994	1051.34750811	157.702126216	84.8963112796	264292993.325	39643948.9988	21341659.211
79	Salado	South_America	Atlantic_Ocean	-57.25	-35.75	251432.0	2.5	20.8	3.3	4.6	0.5	13.2	11.5	3.9	84.6	13.2	5235	837	1162	126	3311	2899	990	21252	3312580	366.852274322	366.852274322	366.852274322	92139350.9232	92139350.9232	92139350.9232
80	GHAASBasin80	Asia	Land	58.75	29.75	248504.0	9.5	1.2	2.2	5.1	0.4	51.9	27.7	9.8	210.4	38.1	289	549	1272	107	12906	6879	2439	52264	9458710	-9999	-9999	-9999	0	0	0
81	Hai_Ho/_Yongding	Asia	Pacific_Ocean	117.25	39.25	245024.0	0.0	1.3	4.3	34.5	4.1	0.0	0.0	0.0	0.0	197.4	322	1053	8460	995	0	0	0	0	0	432.210875628	158.595458703	136.868217985	105943529.834	38874918.8372	33549137.5925
82	Huai	Asia	Pacific_Ocean	120.25	34.25	244120.0	32.6	302.3	35.5	58.4	6.7	159.9	167.6	56.6	1209.3	174.7	73806	8663	14248	1641	39038	40885	13816	295081	42621240	727.273966361	657.928393668	648.037467726	177457756.888	160537159.769	158123734.275
83	Fraser	North_America	Pacific_Ocean	-122.75	49.25	237188.0	235.7	46.5	0.6	68.0	3.6	984.5	43.6	16.0	341.4	68.7	11035	148	16120	844	233510	10344	3794	80977	16304873	2309.28631107	946.345530277	292.632761339	547813517.285	224493979.383	69418928.9104
84	Ruo_Dong	Asia	Land	100.75	42.25	234366.0	0.4	1.5	0.7	0.9	0.1	2.3	0.0	0.0	0.0	37.1	358	158	213	24	537	0	0	0	0	-9999	-9999	-9999	0	0	0
85	Lake_Rudolf	Africa	Land	36.25	3.75	230784.0	122.9	205.1	5.0	36.3	2.0	553.1	334.5	119.7	2553.9	470.6	47343	1155	8377	454	127648	77129	27597	588822	108504000	2894.76749117	2894.76749117	2894.76749117	667414697.996	667414697.996	667414697.996
86	GHAASBasin86	Australia	Indian_Ocean	126.25	-32.25	230930.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.0	0	0	0	0	0	0	0	0	0	-9999	-9999	-9999	0	0	0
87	Anadyr	Asia	Pacific_Ocean	177.75	64.75	225372.0	183.6	27.1	1.1	47.8	2.3	745.5	70.5	20.4	436.1	9.9	6100	249	10783	527	168013	15906	4596	98376	2236150	598.062039233	598.062039233	598.062039233	134909638.686	134909638.686	134909638.686
88	Yana	Asia	Arctic_Ocean	135.75	71.25	225959.0	51.4	10.1	0.1	15.0	0.7	263.7	36.2	11.0	234.9	14.7	2283	28	3399	157	59595	8135	2463	52784	3300152	169.113616262	169.113616262	169.113616262	38003888.3008	38003888.3008	38003888.3008
89	Olenek	Asia	Arctic_Ocean	119.75	72.75	223603.0	208.0	9.9	1.5	60.3	3.0	942.5	89.9	26.1	558.5	14.6	2208	342	13486	664	210739	20049	5819	124504	3254349	218.603694334	218.603694334	218.603694334	48732009.9558	48732009.9558	48732009.9558
90	Lake_Balkhash	Asia	Land	74.25	46.25	221115.0	20.1	19.7	0.9	6.1	0.3	96.2	38.6	14.1	301.1	59.9	4350	199	1348	76	21270	8544	3111	66637	13252659	107.805907382	107.805907382	107.805907382	23857555.1095	23857555.1095	23857555.1095
91	Kura	Asia	Land	49.25	39.75	218616.0	188.3	47.3	10.8	76.0	5.3	801.6	117.7	43.1	921.2	185.6	10339	2367	16614	1158	175233	25725	9432	201408	40570848	1096.66786705	662.431258411	577.911065898	239783139.126	144838607.358	126358520.825
92	Lake_Frome	Australia	Land	139.75	-30.75	211894.0	0.1	0.0	0.2	0.3	0.0	0.0	0.0	0.0	0.0	30.8	0	46	59	7	0	0	0	0	0	-9999	-9999	-9999	0	0	0
93	Ogooue	Africa	Atlantic_Ocean	9.25	-1.25	210141.0	1060.2	423.4	16.2	320.5	17.1	4637.4	480.4	140.1	2988.8	82.6	88979	3405	67349	3595	974498	100847	29407	627369	17348200	2609.73815216	2609.73815216	2609.73815216	547802306.305	547802306.305	547802306.305
94	Ili	Asia	Land	73.75	45.75	208389.0	21.3	1.3	1.1	9.9	0.8	103.1	153.9	49.3	1053.3	110.4	278	227	2059	161	21479	32009	10264	219109	22962356	209.364596793	66.0315001826	89.0302011403	43551814.0603	13735806.6365	18519973.411
95	GHAASBasin95	North_America	Arctic_Ocean	-50.75	69.25	2165.2	218.4	1.2	1.6	60.9	3.0	915.2	157.9	47.9	1031.3	70.0	3	3	132	6	1982	345	105	2256	153043	141.071522985	141.071522985	141.071522985	308636.284899	308636.284899	308636.284899
96	Taymyr	Australia	Indian_Ocean	119.25	-20.25	204094.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.9	0	0	2	0	0	0	0	0	0	54.6343022895	54.6343022895	54.6343022895	11156488.4304	11156488.4304	11156488.4304
97	Qarqan	Asia	Land	91.75	40.25	200571.0	0.0	0.6	0.4	0.5	0.1	0.0	0.0	0.0	0.0	31.7	113	80	109	13	0	0	0	0	0	-9999	-9999	-9999	0	0	0
98	GHAASBasin98	Asia	Land	88.75	31.75	199548.0	337.3	43.3	3.6	96.2	4.8	2846.5	231.2	69.8	1491.7	86.6	8647	710	19194	967	568018	46085	13921	297380	17264700	541.173426753	541.173426753	541.173426753	107887793.184	107887793.184	107887793.184
99	Negro_Arg	South_America	Atlantic_Ocean	-62.75	-40.75	197417.0	74.1	17.7	0.2	21.1	1.1	346.4	1.8	0.5	11.6	0.6	3498	44	4170	216	68380	358	107	2287	116359	196.092109941	29.4138164911	0	38690738.1203	5803610.71804	0
100	Chubut	South_America	Atlantic_Ocean	-65.25	-43.25	196765.0	63.1	65.3	0.2	17.0	0.8	282.7	5.9	1.8	38.0	2.1	12840	33	3345	161	55630	1163	349	7470	406508	185.22323332	34.0440302843	27.8316430387	36392105.2131	6688868.93816	5468277.72932
101	GHAASBasin101	Asia	Indian_Ocean	51.75	23.75	196210.0	0.1	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	2.7	0	3	25	3	0	0	0	0	0	-9999	-9999	-9999	0	0	0
102	GHAASBasin102	Asia	Indian_Ocean	47.75	29.75	193688.0	0.1	0.0	4.1	4.9	0.6	0.0	0.0	0.0	0.0	4.7	0	787	948	111	0	0	0	0	0	-9999	-9999	-9999	0	0	0
