# CO2 expressed as a mole fraction in dry air, micromol/mol, abbreviated as ppm.
# CO2-concetraions are from NORESM2-MM SSP126 scenario.
# year     mean      unc
  1948   312.53      0.00
  1949   312.64      0.00
  1950   312.82      0.00
  1951   313.03      0.00
  1952   313.35      0.00
  1953   313.73      0.00
  1954   314.09      0.00
  1955   314.41      0.00
  1956   314.70      0.00
  1957   315.00      0.00
  1958   315.36      0.00
  1959   315.85      0.00
  1960   316.61      0.00
  1961   317.31      0.00
  1962   318.03      0.00
  1963   318.66      0.00
  1964   319.31      0.00
  1965   319.89      0.00
  1966   320.82      0.00
  1967   321.52      0.00
  1968   322.38      0.00
  1969   323.33      0.00
  1970   324.67      0.00
  1971   325.57      0.00
  1972   327.42      0.00
  1973   329.69      0.00
  1974   330.66      0.00
  1975   330.91      0.00
  1976   331.68      0.00
  1977   333.33      0.00
  1978   335.00      0.00
  1979   336.67      0.00
  1980   338.61      0.00
  1981   339.96      0.00
  1982   340.77      0.00
  1983   342.28      0.00
  1984   343.97      0.00
  1985   345.46      0.00
  1986   346.96      0.00
  1987   348.85      0.00
  1988   351.16      0.00
  1989   352.84      0.00
  1990   354.08      0.00
  1991   355.30      0.00
  1992   356.21      0.00
  1993   357.00      0.00
  1994   358.33      0.00
  1995   360.21      0.00
  1996   361.94      0.00
  1997   363.43      0.00
  1998   365.83      0.00
  1999   367.76      0.00
  2000   369.16      0.00
  2001   370.75      0.00
  2002   372.88      0.00
  2003   375.28      0.00
  2004   377.03      0.00
  2005   378.93      0.00
  2006   380.94      0.00
  2007   382.67      0.00
  2008   384.66      0.00
  2009   386.39      0.00
  2010   388.69      0.00
  2011   390.92      0.00
  2012   393.09      0.00
  2013   395.61      0.00
  2014   397.32      0.00
  2015   400.04      0.00
  2016   403.05      0.00
  2017   405.78      0.00
  2018   408.59      0.00
  2019   411.41      0.00
  2020   414.23      0.00
  2021   417.03      0.00
  2022   419.80      0.00
  2023   422.49      0.00
  2024   425.11      0.00
  2025   427.66      0.00
  2026   430.16      0.00
  2027   432.59      0.00
  2028   434.96      0.00
  2029   437.29      0.00
  2030   439.56      0.00
  2031   441.77      0.00
  2032   443.92      0.00
  2033   445.98      0.00
  2034   447.96      0.00
  2035   449.85      0.00
  2036   451.67      0.00
  2037   453.41      0.00
  2038   455.08      0.00
  2039   456.67      0.00
  2040   458.19      0.00
  2041   459.64      0.00
  2042   461.01      0.00
  2043   462.30      0.00
  2044   463.53      0.00
  2045   464.67      0.00
  2046   465.75      0.00
  2047   466.74      0.00
  2048   467.67      0.00
  2049   468.52      0.00
  2050   469.30      0.00
  2051   470.01      0.00
  2052   470.66      0.00
  2053   471.24      0.00
  2054   471.77      0.00
  2055   472.24      0.00
  2056   472.66      0.00
  2057   473.02      0.00
  2058   473.31      0.00
  2059   473.56      0.00
  2060   473.75      0.00
  2061   473.87      0.00
  2062   473.95      0.00
  2063   473.99      0.00
  2064   473.99      0.00
  2065   473.95      0.00
  2066   473.87      0.00
  2067   473.74      0.00
  2068   473.57      0.00
  2069   473.36      0.00
  2070   473.11      0.00
  2071   472.81      0.00
  2072   472.45      0.00
  2073   472.03      0.00
  2074   471.55      0.00
  2075   471.01      0.00
  2076   470.41      0.00
  2077   469.74      0.00
  2078   469.01      0.00
  2079   468.23      0.00
  2080   467.38      0.00
  2081   466.48      0.00
  2082   465.53      0.00
  2083   464.56      0.00
  2084   463.56      0.00
  2085   462.52      0.00
  2086   461.46      0.00
  2087   460.37      0.00
  2088   459.25      0.00
  2089   458.10      0.00
  2090   456.92      0.00
  2091   455.71      0.00
  2092   454.51      0.00
  2093   453.32      0.00
  2094   452.16      0.00
  2095   451.03      0.00
  2096   449.91      0.00
  2097   448.82      0.00
  2098   447.74      0.00
  2099   446.67      0.00
  2100   445.63      0.00
